Protein.IDs	Gene	meanCN4abs	meanCN22abs	meanCN38abs	meanCN75abs	mean_hGRabs	sdCN4abs	sdCN22abs	sdCN38abs	sdCN75abs	sd_hGRabs
D6W196	YNL083W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13297	YPL228W	2.36E-07	3.14E-07	1.76E-07	1.54E-07	1.46E-07	2.82E-08	6.33E-08	3.80E-08	4.29E-08	3.63E-08
O13516	YPL081W	1.49E-06	1.63E-06	1.10E-06	9.11E-07	1.07E-06	1.24E-07	5.43E-08	3.70E-08	8.96E-08	4.25E-08
O13525	YDR204W	2.08E-07	1.60E-07	1.37E-07	1.41E-07	9.81E-08	6.28E-08	4.44E-09	2.44E-08	1.00E-08	NA
O13547	YLR390W-A	2.89E-08	2.28E-08	2.02E-08	1.22E-08	2.38E-08	NA	NA	NA	NA	NA
O13585	YPR089W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O14455	YPL249C-A	4.00E-05	3.66E-05	2.14E-05	1.91E-05	4.28E-05	1.18E-06	1.51E-06	1.12E-06	2.46E-07	8.10E-07
O14467	YOR298C-A	3.65E-05	3.92E-05	2.29E-05	1.86E-05	1.84E-05	3.59E-06	3.86E-07	3.55E-07	9.27E-07	8.25E-07
O43137	YBR085C-A	3.76E-07	4.28E-07	3.41E-07	2.80E-07	1.97E-07	4.76E-08	1.88E-08	3.23E-08	1.44E-08	1.15E-08
O74700	YEL020W-A	7.46E-07	8.58E-07	5.38E-07	4.36E-07	9.68E-07	8.75E-08	3.64E-08	7.01E-09	4.16E-08	1.46E-08
O75012	YDL045W-A	7.75E-07	5.56E-07	3.66E-07	3.31E-07	1.27E-06	7.83E-08	8.60E-08	4.60E-08	3.97E-08	1.19E-07
O94742	YDR363W-A	4.67E-08	4.81E-08	NA	NA	NA	NA	NA	NA	NA	NA
P00127	YFR033C	2.19E-06	1.69E-06	1.33E-06	9.18E-07	2.11E-06	3.23E-07	2.80E-08	1.73E-07	6.97E-08	3.11E-07
