Entry	Gene names  (ordered locus )	Gene names  (primary )	system
P03878	Q0065	AI4	ETC
P07143	YOR065W	CYT1	ETC
P21801	YLL041C	SDH2	ETC
Q9ZZX1	Q0070	AI5_ALPHA	ETC
P37298	YDR178W	SDH4	ETC
P08067	YEL024W	RIP1	ETC
P00410	Q0250	COX2	ETC
P00401	Q0045	COX1	ETC
P00163	Q0105	COB	ETC
P03877	Q0060	AI3	ETC
Q00711	YKL148C	SDH1	ETC
P33421	YKL141W	SDH3	ETC
P00420	Q0275	COX3	ETC
P22289	YGR183C	QCR9	ETC
P37299	YHR001W-A	QCR10	ETC
P07257	YPR191W	QCR2	ETC
P04037	YGL187C	COX4	ETC
P32799	YGL191W	COX13	ETC
P00424	YNL052W	COX5A	ETC
P04039	YLR395C	COX8	ETC
P07255	YDL067C	COX9	ETC
P00127	YFR033C	QCR6	ETC
P08525	YJL166W	QCR8	ETC
Q01519	YLR038C	COX12	ETC
P10174	YMR256C	COX7	ETC
Q06236	YLR164W	SHH4	ETC
P47052	YJL045W		ETC
Q3E7B2	YJL062W-A	COA3	ETC
P38345	YBR269C	SDH8	ETC
Q2V2P9	YDR119W-A	COX26	ETC
P07256	YBL045C	COR1	ETC
P00128	YDR529C	QCR7	ETC
P00427	YHR051W	COX6	ETC
P00425	YIL111W	COX5B	ETC
Q04487	YMR118C	SHH3	ETC
P53077	YGL226W	MTC3	ETC
P00950	YKL152C	GPM1	Glycolysis
P16862	YMR205C	PFK2	Glycolysis
P00560	YCR012W	PGK1	Glycolysis
P16861	YGR240C	PFK1	Glycolysis
P04806	YFR053C	HXK1	Glycolysis
P04807	YGL253W	HXK2	Glycolysis
P17709	YCL040W	GLK1	Glycolysis
P16387	YER178W	PDA1	Glycolysis
P00359	YGR192C	TDH3	Glycolysis
P00549	YAL038W	CDC19	Glycolysis
P00358	YJR009C	TDH2	Glycolysis
P00360	YJL052W	TDH1	Glycolysis
P14540	YKL060C	FBA1	Glycolysis
P00924	YGR254W	ENO1	Glycolysis
P00925	YHR174W	ENO2	Glycolysis
P00942	YDR050C	TPI1	Glycolysis
P52489	YOR347C	PYK2	Glycolysis
P12709	YBR196C	PGI1	Glycolysis
Q04409	YDR516C	EMI2	Glycolysis
P32473	YBR221C	PDB1	Glycolysis
Q12008	YDL021W	GPM2	Glycolysis
Q12326	YOL056W	GPM3	Glycolysis
Q06204	YLR446W		Glycolysis
P42222	YMR323W	ERR3	Glycolysis
P0CX11	YPL281C	ERR2	Glycolysis
P0CX10	YOR393W	ERR1	Glycolysis
P25294	YNL007C	SIS1	Ribosome
P39730	YAL035W	FUN12	Ribosome
P25644	YCR077C	PAT1	Ribosome
P0CH09	YKR094C	RPL40B	Ribosome
P0CX37	YPL090C	RPS6A	Ribosome
P32905	YGR214W	RPS0A	Ribosome
P49626	YDR012W	RPL4B	Ribosome
P40693	YNL002C	RLP7	Ribosome
P14126	YOR063W	RPL3	Ribosome
P26783	YJR123W	RPS5	Ribosome
P05318	YDL081C	RPP1A	Ribosome
Q04373	YDR496C	PUF6	Ribosome
P05755	YBR189W	RPS9B	Ribosome
P07280	YOL121C	RPS19A	Ribosome
P26786	YOR096W	RPS7A	Ribosome
P0CX53	YEL054C	RPL12A	Ribosome
P0CX54	YDR418W	RPL12B	Ribosome
P05317	YLR340W	RPP0	Ribosome
P0CX48	YBR048W	RPS11B	Ribosome
P04147	YER165W	PAB1	Ribosome
P05750	YNL178W	RPS3	Ribosome
P0CH08	YIL148W	RPL40A	Ribosome
P25443	YGL123W	RPS2	Ribosome
P33892	YGL195W	GCN1	Ribosome
P53145	YGL099W	LSG1	Ribosome
Q01662	YLR244C	MAP1	Ribosome
P15442	YDR283C	GCN2	Ribosome
Q06630	YDR296W	MHR1	Ribosome
P53192	YGL020C	GET1	Ribosome
P38011	YMR116C	ASC1	Ribosome
P16521	YLR249W	YEF3	Ribosome
P32527	YGR285C	ZUO1	Ribosome
P06367	YCR031C	RPS14A	Ribosome
P07281	YNL302C	RPS19B	Ribosome
P05759	YLR167W	RPS31	Ribosome
P46654	YLR048W	RPS0B	Ribosome
O13516	YPL081W	RPS9A	Ribosome
Q01589	YDR077W	SED1	Ribosome
P10664	YBR031W	RPL4A	Ribosome
P0C0V8	YKR057W	RPS21A	Ribosome
P0CX28	YHR141C	RPL42B	Ribosome
P10622	YDL130W	RPP1B	Ribosome
P0CX27	YNL162W	RPL42A	Ribosome
Q02326	YML073C	RPL6A	Ribosome
P0CX47	YDR025W	RPS11A	Ribosome
P26784	YIL133C	RPL16A	Ribosome
P49166	YLR185W	RPL37A	Ribosome
P0CX43	YPL220W	RPL1A	Ribosome
Q3E754	YJL136C	RPS21B	Ribosome
P02400	YDR382W	RPP2B	Ribosome
P0CX29	YGR118W	RPS23A	Ribosome
P0CX44	YGL135W	RPL1B	Ribosome
P0CX42	YER117W	RPL23B	Ribosome
