protID	geneID	protName	CN4	CN22	CN38	CN78	hGR	GOterm
P00127	YFR033C	QCR6	100	100	100	100	99.5	ETC
P00128	YDR529C	QCR7	100	100	100	100	99.5	ETC
P00163	Q0105	COB	100	100	100	100	99.5	ETC
P00359	YGR192C	TDH3	15.3	0	27.5	78.2	100	Glycolysis
P00360	YJL052W	TDH1	0	60	100	100	100	Glycolysis
P00401	Q0045	COX1	100	96	100	70.6	100	ETC
P00410	Q0250	COX2	100	96	100	70.6	100	ETC
P00420	Q0275	COX3	100	96	100	70.6	100	ETC
P00425	YIL111W	COX5B	70.7	77.8	80.9	57	98.6	ETC
P00427	YHR051W	COX6	70.7	77.8	80.9	57	98.6	ETC
P00549	YAL038W	CDC19	1.95	2.57	4.92	10.3	28.6	Glycolysis
P00560	YCR012W	PGK1	0.411	0.517	1.29	2.6	4.59	Glycolysis
P00890	YNR001C	CIT1	0	0	2.92	1.72	7.98	TCA cycle
P00924	YGR254W	ENO1	0.973	2.5	5.79	0	0	Glycolysis
P00925	YHR174W	ENO2	0	0	0	16.9	24.1	Glycolysis
P00942	YDR050C	TPI1	0.021	0.028	0.06	0.117	0.205	Glycolysis
P00950	YKL152C	GPM1	0.398	0.542	1.53	3.51	8.2	Glycolysis
P04037	YGL187C	COX4	70.7	77.8	80.9	57	98.6	ETC
P04039	YLR395C	COX8	70.7	77.8	80.9	57	100	ETC
P04806	YFR053C	HXK1	0	0	0	75	0	Glycolysis
P04807	YGL253W	HXK2	24.3	0	0	0	0	Glycolysis
P06785	YOR074C	CDC21	0.196	0.188	0.303	0.281	0.709	THF cycle
P07143	YOR065W	CYT1	100	100	100	100	99.5	ETC
P07245	YGR204W	ADE3	13.1	14.4	9.18	5.24	5.59	THF cycle
P07255	YDL067C	COX9	100	96	100	70.6	100	ETC
P07256	YBL045C	COR1	100	100	100	100	99.5	ETC
P07257	YPR191W	QCR2	100	100	100	100	99.5	ETC
P08067	YEL024W	RIP1	100	100	100	100	99.5	ETC
P08417	YPL262W	FUM1	0.46	0.608	0.607	0.215	2.79	TCA cycle
P08525	YJL166W	QCR8	100	100	100	100	99.5	ETC
P09440	YBR084W	MIS1	0	0	0	0	2.84	THF cycle
P09624	YFL018C	LPD1	33.8	33.8	34.7	12.2	100	THF cycle
P10174	YMR256C	COX7	70.7	77.8	80.9	57	98.6	ETC
P11412	YNL241C	ZWF1	0.557	0.905	1.85	1.86	6.14	PP shunt
P12709	YBR196C	PGI1	1.13	1.27	2.7	5.84	6.54	Glycolysis
P14540	YKL060C	FBA1	0	0	10.1	21.1	29.3	Glycolysis
P15019	YLR354C	TAL1	12.4	15.5	0	0	0	PP shunt
P16387	YER178W	PDA1	12.1	10.3	12.9	10.3	92.6	Glycolysis
P16861	YGR240C	PFK1	0	0	11.5	24.4	2.43	Glycolysis
P16862	YMR205C	PFK2	5.93	8.2	8.89	15.9	31.2	Glycolysis
P17505	YKL085W	MDH1	2.04	2.71	2.77	1.8	13.2	TCA cycle
P17709	YCL040W	GLK1	0	9.13	25.1	0	55	Glycolysis
P19262	YDR148C	KGD2	21.5	28.9	22.9	0	84.6	TCA cycle
P19414	YLR304C	ACO1	2.34	1.97	1.37	0.921	9.91	TCA cycle
P19516	YPL132W	COX11	13.3	0	0	0	4.76	Ribosome
P20967	YIL125W	KGD1	45	71.8	55.1	0.001	100	TCA cycle
P21801	YLL041C	SDH2	5.83	8.42	8.46	1.25	46.7	ETC
P21954	YDL066W	IDP1	13.6	13.5	16	0	35.5	TCA cycle
P22133	YOL126C	MDH2	0.044	0.119	0.206	1.43	0.518	TCA cycle
P22289	YGR183C	QCR9	100	100	100	100	99.5	ETC
