subSys	capUse_CN04	capUse_CN22	capUse_CN38	capUse_CN78	capUse_hGR	absUse_CN04	absUse_CN22	absUse_CN38	absUse_CN78	absUse_hGR
 	0.139216769294728	0.169515984538193	0.162343822428152	0.149851240020171	0.294769617441528	4.97487448602473e-06	5.46859966457788e-06	3.28421333576766e-06	2.68294965161225e-06	1.18198992040732e-05
2-Oxocarboxylic acid metabolism	0.157645905663176	0.185858920142079	0.178125019992103	0.234020071345597	0.239151230144883	1.45358192293181e-06	1.69576469204814e-06	9.49580189588257e-07	1.22267161759515e-06	3.42320084929476e-06
AGE-RAGE signaling pathway in diabetic complications	0	0	0	0	0	0	0	0	0	0
Alanine, aspartate and glutamate metabolism	0.0331742659100065	0.0453810811361872	0.0522565750653204	0.068575010738856	0.0847923947421817	4.12330890281432e-07	4.07282337379116e-07	2.70348749799403e-07	2.09110597227195e-07	9.21445176855568e-07
Amino sugar and nucleotide sugar metabolism	0.0628428903685235	0.0517554940569449	0.0731848665382005	0.100077556268457	0.127249679995705	8.34505314210982e-07	6.91794945711895e-07	1.19974368390835e-06	1.39920184638586e-06	2.91460105951719e-06
Aminoacyl-tRNA biosynthesis	0.116680755793262	0.131431164666267	0.122134873332022	0.113193515770659	0.208893463820599	6.03054818310982e-07	6.63360300142081e-07	3.98016180085248e-07	3.2564960188793e-07	1.43406435794352e-06
Arginine and proline metabolism	0.0569710349881126	0.0677198138983609	0.0978719795664124	0.0607943316677032	0.0652315629395542	4.14169545577334e-08	7.69751706933998e-08	9.76757236090576e-08	1.53169175315883e-07	2.75335171997673e-07
Arginine biosynthesis	0.0955002130901787	0.0907867316181544	0.089518192484525	0.152817437907806	0.17346895785971	8.18736300387422e-07	7.92667243365537e-07	4.73077958169336e-07	3.85454819041606e-07	1.63565860639596e-06
Atrazine degradation	0	0	0	0	0	0	0	0	0	0
Autophagy - other	0	0	0	0	0	0	0	0	0	0
Autophagy - yeast	0	0	0.1	0	0.1	0	0	1.22131646944348e-09	0	5.44366460675288e-10
Biosynthesis of amino acids	0.190580675378067	0.207407005600378	0.211946350932077	0.232421245159179	0.271449364186062	2.82657353999788e-06	2.54884667439773e-06	2.34149151566525e-06	3.0758807968883e-06	6.67175339079337e-06
Biosynthesis of antibiotics	0.163517076965874	0.176540382511046	0.207257043436146	0.193355377569987	0.276123933684086	4.01488757814192e-06	3.55571024404764e-06	4.85083747420838e-06	5.66049876467713e-06	1.27115193250369e-05
Biosynthesis of secondary metabolites	0.129028640260644	0.135454484741215	0.155491479499429	0.150760714985918	0.223190151760714	2.92923678609834e-06	2.58805633731575e-06	3.81689227065462e-06	4.53819403305051e-06	1.02696258663739e-05
Biosynthesis of unsaturated fatty acids	0.0900001853018606	0.0900001904937607	0.0900001754046462	0.0900001733442394	0.0900001790659307	5.77527782574884e-07	4.77892760726128e-07	7.96158716916607e-07	9.33771537319241e-07	2.02922429591703e-06
Biotin metabolism	0.0155987148657535	0.138433916397499	0.0295735489125801	0.162504611444808	0.076780163375448	2.62997727112351e-06	2.23241539141405e-06	3.98168766213568e-06	4.45876191778702e-06	9.70220709834157e-06
Butanoate metabolism	0.0994454622446706	0.117863942843927	0.318888127866887	0.373890463620969	0.227290307121467	1.78353071849434e-06	1.70836659200071e-06	2.61000686009721e-06	3.82814710512418e-06	6.23407042587872e-06
C5-Branched dibasic acid metabolism	0.0928086252152142	0.128025479254154	0.118810848688933	0.361626192117784	0.269816632503237	1.32257304290156e-06	1.45483034719171e-06	8.72898208315028e-07	3.32934426082176e-06	3.1450786960199e-06
Carbapenem biosynthesis	0.508047932240685	0.509743882835243	0.499123631587079	0.507208649084214	0.524898192033287	2.52156337188575e-07	3.08131126522746e-07	1.8129622626955e-07	1.31253353131395e-07	6.66123471700991e-07
Carbon metabolism	0.144260572691493	0.150248435499205	0.16941350509997	0.162685104187358	0.255487299709559	2.81109977805993e-06	2.23309017269453e-06	2.19065955014315e-06	2.7359686492972e-06	6.16768010114957e-06
Cell cycle - yeast	0	0	0	0	0	0	0	0	0	0
Citrate cycle (TCA cycle)	0.121248282681917	0.129963262834232	0.136928764917774	0.0844059714207674	0.315631454051737	6.57987194765811e-07	6.40577011635856e-07	4.16775699413519e-07	1.87956389604806e-07	2.37084866736765e-06
Cysteine and methionine metabolism	0.0382474334042047	0.0395403788416828	0.0505580868894704	0.0581170261281176	0.0662490177208403	6.38194506549645e-07	5.87209326291306e-07	8.14524720122683e-07	8.76399645178708e-07	2.16340749478879e-06
Endocytosis	0	0	0	0	0	0	0	0	0	0
Fatty acid biosynthesis	0.0404505736009046	0.258152588904063	0.0875748656049983	0.199324068319163	0.353661322825473	1.99775801503646e-06	2.52464236248051e-06	3.02453124889754e-06	3.38692180202498e-06	7.57262788755169e-06
Fatty acid degradation	0.00998373371648674	0.122356341365826	0.0556055709521971	0.0684076549156493	0.111532806941167	2.38868159491353e-07	8.11234851036607e-07	1.3958958793515e-07	5.75300855424012e-07	4.53560452086267e-07
Fatty acid elongation	0	0	0	0	0	7.10193539742214e-08	4.33261661951489e-08	0	5.80516673380599e-08	1.2267557128111e-07
Fatty acid metabolism	0.0631798296753839	0.181097778889736	0.0887223974773474	0.149264083489426	0.232950173999139	1.34703493905904e-06	1.58673195757884e-06	2.00352052016823e-06	2.26292708739486e-06	5.03269727098299e-06
Folate biosynthesis	3.56588855962868e-05	4.27593713885393e-05	8.64372803965918e-05	0	0.000131015470959129	1.895020479e-10	1.895020479e-10	1.895020479e-10	1.895020479e-10	5.49555938910048e-10
Fructose and mannose metabolism	0.0660088195450755	0.0592617698805739	0.0800752795621102	0.121022724528863	0.115335399194649	1.04441405768216e-06	8.76826940641233e-07	2.22133879621409e-06	3.03457652725087e-06	5.45447432328075e-06
Galactose metabolism	0.0316377515631443	0.0192001803837034	0.0492625628304377	0.0900838621276404	0.116846357473977	2.14894490688006e-07	1.72443355645879e-07	2.60920915111201e-07	3.83387216697485e-07	6.21459420603304e-07
Gluconeogenesis	0.0972916781755507	0.103073409312126	0.150671213702702	0.126836871145481	0.230094656638571	1.42715676968892e-06	9.6213617280849e-07	2.16451260081428e-06	4.32334479882728e-06	7.01726096077135e-06
Glutathione metabolism	0.0251778546267659	0.0238556950470428	0.0693708604850533	0.0412944426755594	0.0883586764472191	1.4486892792955e-07	1.71462279984888e-07	1.73520005583773e-07	1.22074998655977e-07	6.43035738456961e-07
Glycerolipid metabolism	0.0689827448789927	0.0755154078983935	0.09499719417625	0.0712961229739921	0.0723831935775656	6.02644888011328e-07	5.26343500473687e-07	9.0620134558534e-07	1.03828132086366e-06	2.20602933126995e-06
Glycerophospholipid metabolism	0.0780790247755131	0.0513557661223987	0.0798725744624549	0.106816052029908	0.093790347438901	8.65766399073544e-07	7.32066722874269e-07	1.28471945395056e-06	1.43224488008018e-06	3.12498742775292e-06
Glycine, serine and threonine metabolism	0.211127523379403	0.206084845060704	0.195636020435086	0.112066468964166	0.332851200031983	4.8859617517011e-06	4.31254990930074e-06	2.41659682052364e-06	1.08565706713924e-06	5.6044919691471e-06
Glycolysis	0.0972916781755507	0.103073409312126	0.150671213702702	0.126836871145481	0.230094656638571	1.42715676968892e-06	9.6213617280849e-07	2.16451260081428e-06	4.32334479882728e-06	7.01726096077135e-06
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0	0	0	0	0	0	0	0	0	0
Glyoxylate and dicarboxylate metabolism	0.173173349893747	0.169165459613081	0.139710469982313	0.053599872132375	0.328227545998685	3.67605600855119e-06	2.89486711757701e-06	1.46367084896429e-06	1.79642371804121e-07	4.4179244211532e-06
Histidine metabolism	0.101938328684678	0.112814886283529	0.0799219867462947	0.0239356258079329	0.160887561771367	1.89895589083809e-07	1.46061575683098e-07	1.54091621632465e-07	2.29692548266698e-07	4.49658489713942e-07
Inositol phosphate metabolism	0.00376896514225424	0.00537707451678839	0.00943848984755418	0.0619078495184672	0.0455477551867341	6.36535932821966e-08	5.4719636560969e-08	9.37024571183459e-08	1.06275566151801e-07	2.28623248648934e-07
Longevity regulating pathway - multiple species	0	0	0	0	0	0	0	0	0	0
Lysine biosynthesis	0.202745115557803	0.219374772312664	0.207952591488343	0.218227290624029	0.237818975985269	1.96629797540193e-06	2.4394388804877e-06	1.28914800085635e-06	1.202436024705e-06	4.4649295539019e-06
Lysine degradation	0.118596127964182	0.124503781107525	0.170195058586419	0.0151146618044846	0.260005236787994	8.4866551488465e-07	8.15802192914394e-07	5.8372974979593e-07	2.65372504653723e-07	2.33635952468271e-06
MAPK signaling pathway - yeast	0.0772509690254577	0.107241182816489	0.0770475213789124	0.155180399982475	0.0805971557453305	1.31722426300697e-07	1.0137520212326e-07	1.33256954576522e-07	1.84947518966472e-07	4.00200843392786e-07
Mannose type O-glycan biosynthesis	0.281267488010644	0.29303415651308	0.49705806106225	0.284304783319724	0.498308160619078	2.77827608073619e-07	3.36586015339703e-07	3.63601215950079e-07	2.56032688292478e-07	5.30950718571088e-07
Meiosis - yeast	0	0	0	0	0	0	0	0	0	0
Mitophagy - yeast	0	0	0	0	0	0	0	0	0	0
Monobactam biosynthesis	0.00754286961017607	0.0126191701444311	0.0145460435162747	0.0134385467050051	0.01768198652542	4.86145259219619e-08	5.34759785141581e-08	3.20855871084949e-08	2.62518439978594e-08	1.15605342642425e-07
N-Glycan biosynthesis	0.0119993541474424	0.0118675352616757	0.038925397576804	0.048661196911893	0.0527549936336545	6.73579815762696e-08	5.717577731811e-08	1.01977476054012e-07	1.14196121163804e-07	2.48489252798775e-07
Nicotinate and nicotinamide metabolism	0	0	0.00602164155267402	0	0	0	0	6.84926329609954e-09	0	0
Nitrogen metabolism	0.0576892124202142	0.0162352912089418	0.0159357018918821	0.056100112810156	0.0930008679945991	1.34417766624667e-06	1.25405007132164e-06	7.29382660465546e-07	4.92479999073495e-07	2.45990073236708e-06
One carbon pool by folate	0.193167101323257	0.183913814823509	0.178729412388198	0.048528775244803	0.316246750109938	2.31048440824909e-06	1.84612421394362e-06	9.87412883517189e-07	1.5143064288965e-07	2.61718706556671e-06
Other types of O-glycan biosynthesis	0.108179803081017	0.112705444812723	0.191176177331635	0.109347993584509	0.191656984853492	1.06856772336007e-07	1.2945615974604e-07	1.39846621519261e-07	9.84741108817221e-08	2.04211814835034e-07
Oxidative phosphorylation	0.39294571484094	0.405724519681307	0.397444302976864	0.358310861902984	0.539944638375993	7.62100544387199e-06	7.14612818008368e-06	5.19764397391639e-06	3.55351123472016e-06	1.79187749903795e-05
Pantothenate and CoA biosynthesis	0.0280535034197989	0.0382390745057222	0.0368421378424316	0.116755493463192	0.0872309403881208	6.81818281884943e-07	7.50060157638583e-07	4.49823292301722e-07	1.14272180431646e-06	1.62072695317196e-06
Pentose and glucuronate interconversions	0.0169595655375975	0.019361046459981	0.045326065949518	0.0489631232581715	0.153846153846154	9.46194254666018e-08	9.34124547443691e-08	1.57859442014488e-07	1.69150238373848e-07	4.03073985874353e-07
Pentose phosphate pathway	0.29894103637116	0.300199342587416	0.31314171962441	0.343200445500013	0.385789696606694	1.62827285377857e-06	1.93082828495891e-06	2.31583907950478e-06	2.7124248390961e-06	7.50828790232522e-06
Peroxisome	0.0233078079746271	0.125491240924832	0.0918842621395254	0.0738170395634425	0.221345098744631	1.17542215654114e-07	6.80621922707731e-07	1.06636121363798e-07	6.75437773997685e-08	5.40337313386953e-07
Phagosome	0	0	0	0	0	0	0	0	0	0
Phenylalanine metabolism	0.0785334665034556	0.0972937633264651	0.0588108730663482	0.000650660973333161	0.0894586707260552	1.21156328410566e-07	7.17756319224079e-08	1.08933427634403e-07	4.74361155329443e-09	3.15315778507727e-07
Phenylalanine, tyrosine and tryptophan biosynthesis	0.258451599614431	0.292832800066837	0.291531942721187	0.287221442536053	0.363431876578587	3.13456026389827e-06	3.44892440390591e-06	2.06895326546768e-06	1.69255417870839e-06	7.47390800538018e-06
Phosphatidylinositol signaling system	0.000844195973431241	0.000480589206364046	0.0471537035545337	0.0439935090511857	0.0480360882490731	4.17238263739627e-08	3.54178737366895e-08	6.18259774805397e-08	6.86121271833428e-08	1.49546521759744e-07
Phosphonate and phosphinate metabolism	0	0	0	0	0	0	0	0	0	0
Porphyrin and chlorophyll metabolism	0.073198721371886	0.0609557808182302	0.0544657131020385	0.0489756375507222	0.0772095731859657	5.79462078384958e-07	6.37378576113992e-07	3.8254598610624e-07	3.13046188831398e-07	1.37811590917082e-06
Propanoate metabolism	0.140499639124257	0.17877889459464	0.191328714178343	0.127907779113728	0.344117237657035	1.72955430376596e-06	1.54150958138884e-06	1.9600476404798e-06	1.81868866456539e-06	6.14781432017605e-06
Purine metabolism	0.139963697350464	0.127621239890037	0.139426129400785	0.160229956771395	0.200403075918035	1.47438028524429e-06	1.51330196105781e-06	1.44519945870869e-06	1.46406734871373e-06	4.65235085176395e-06
Pyrimidine metabolism	0.0493855969278785	0.0451976182044823	0.0578899392226857	0.0564493493096953	0.102728570379189	8.61974425511873e-08	8.55649812772752e-08	8.838261243132e-08	7.96570293123034e-08	8.67543155809043e-07
Pyruvate metabolism	0.0982762139405317	0.12463413547752	0.129383126445039	0.121671991424393	0.205408689349478	1.22909974090453e-06	1.21449744984621e-06	1.28000097415024e-06	1.30484306266946e-06	4.14990288734137e-06
RNA degradation	0.00986069735118431	0.0152771031535036	0.0373531241650138	0.0817127374287584	0.0823451593642213	2.90968287000497e-07	4.88095279594119e-07	7.810139428748e-07	3.6403073911033e-06	5.66627459253983e-06
Riboflavin metabolism	0.164032206096373	0.165163633528423	0.165320183512616	0.165308912198292	0.165692219738918	3.63092270816632e-06	3.63092270816632e-06	3.63092270816632e-06	3.63092270816632e-06	1.05296758536823e-05
Ribosome (main subunits)	0.329548759646722	0.397809784091358	0.384822103146705	0.359517546497618	0.706865178954748	1.21727826e-05	1.33896609e-05	8.03379654e-06	6.57304263000001e-06	2.8945775133e-05
Selenocompound metabolism	0.0830457029096414	0.0867639291783539	0.0979460437915594	0.106468714522077	0.119873346413721	1.21117066261477e-06	1.19184008307369e-06	1.28313441706597e-06	1.30706197201717e-06	3.6285699303467e-06
Sesquiterpenoid and triterpenoid biosynthesis	0.613951183362282	0.564082576477102	0.636722033209647	0.67756296192032	0.913203704575414	5.34596865999173e-06	4.53784253180423e-06	8.09359749582924e-06	9.06334884965424e-06	1.97217275031148e-05
Sphingolipid metabolism	0	0	0	0	0	0	0	0	0	0
Starch and sucrose metabolism	0.0416189407807093	0.0442461740901649	0.0508023561260461	0.0935423048217763	0.0886130794151005	1.49368290881796e-07	1.1263219298093e-07	1.63250811180437e-07	2.30631815243199e-07	4.16594566590621e-07
Steroid biosynthesis	0.180987445180001	0.212683339941458	0.271201614303334	0.198842209635824	0.250222238493612	1.73024119407841e-05	1.46820180571137e-05	2.61432466369332e-05	2.92651254263482e-05	6.3694401601393e-05
Sulfur metabolism	0.4628730361203	0.451550051194862	0.459865177374692	0.393901837944814	0.509254195849984	4.12098279526597e-06	3.78446069973197e-06	2.74836549133932e-06	1.53833245082985e-06	8.48455086566511e-06
Sulfur relay system	0.0176867750839301	0.0143101894306123	0.0133103070969717	0.0137908882789407	0.149796044096286	2.12209331506699e-07	2.33096630024169e-07	1.41192516547302e-07	1.16127758326338e-07	5.06375363108235e-07
Synthesis and degradation of ketone bodies	0.285318832904072	0.241898499811048	0.495431439980544	0.495561854483876	0.49660278630806	5.61808567424933e-06	4.76884001896395e-06	8.50552090221962e-06	9.52461568856208e-06	2.07255107759127e-05
Taurine and hypotaurine metabolism	0	0	0.144439448742061	0	0	0	0	2.08967451137496e-08	0	0
Terpenoid backbone biosynthesis	0.149466226849053	0.130949531377616	0.210623662425158	0.231445382224553	0.353295626237601	1.11311350963039e-06	9.44852136147622e-07	1.68520217947182e-06	1.88711582765114e-06	4.10635354750821e-06
