protein_IDs	previous_values	modified_values	flex_Mass
prot_P16451	5.82494014783178e-07	1.48018533765775e-06	4.07204005197441e-05
prot_P28239	1.78289812700297e-07	9.40235523649958e-07	2.71040318828438e-05
prot_P32264	2.5915855666268e-07	5.45542744071266e-07	1.35063479482563e-05
prot_P32895	3.08227871321135e-06	1.36077809693309e-05	0.000495194883468994
prot_P33330	6.14167019465722e-06	6.08175306432957e-05	0.00237375302813624
prot_P37292	5.33499251582846e-06	8.13115063060674e-06	0.000150114236972594
prot_P38604	8.41559342617815e-07	0.000340467262655358	0.0283449608193163
prot_P38689	3.1843361812529e-06	1.36077809693309e-05	0.000366108071482953
prot_P38858	4.18184458748505e-06	6.79421505717727e-06	7.25825452329086e-05
prot_P39533	4.54487376263849e-06	1.06490303646415e-05	0.000528511551912211
prot_Q12189	9.81742336758291e-07	3.33099362856599e-06	6.63846026761047e-05
