protein_IDs	previous_values	modified_values	flex_Mass
prot_P00359	0.000193707686297738	0.000264521020723242	0.00253131186384103
prot_P00854	3.54304737530844e-05	3.55067090660553e-05	2.21835307566555e-06
prot_P00856	3.54304737530844e-05	3.55067090660553e-05	4.43858001532393e-07
prot_P04039	1.91416722673661e-05	1.91514300915992e-05	8.69086470011128e-08
prot_P05626	3.54304737530844e-05	3.55067090660553e-05	2.05262131703243e-06
prot_P07149	7.57954578497725e-06	8.44786795175756e-06	0.000198575371986735
prot_P07277	7.40885818041332e-07	7.85135257443895e-07	2.14428402650321e-06
prot_P07283	5.087007162146e-05	6.40646760387052e-05	0.000383467663092011
prot_P09457	3.54304737530844e-05	3.55067090660553e-05	1.73924310306228e-06
prot_P09624	1.11281737482527e-05	3.54924302500962e-05	0.00131589741325528
prot_P10659	1.47016784067209e-05	1.88610707704873e-05	0.000173937178710519
prot_P11986	2.02114061589367e-06	2.06901446600999e-06	2.85526152937373e-06
prot_P12695	5.69361597137609e-06	8.72811714730606e-06	0.000157240628823892
prot_P16387	7.87179647637109e-06	8.72811714730606e-06	3.96841348880775e-05
prot_P16451	3.39798143482814e-07	8.72811714730606e-06	0.000380504635412177
prot_P16603	8.09777935219554e-07	8.42844843018283e-07	2.53857594125633e-06
prot_P19262	6.88258153380835e-06	2.63309904060892e-05	0.000980785398754098
prot_P20967	5.82215425774019e-06	2.63309904060892e-05	0.0023465176675599
prot_P21147	1.6944900471476e-05	2.13400626848384e-05	0.000256687670036701
prot_P21306	3.54304737530844e-05	3.55067090660553e-05	5.14016597706397e-07
prot_P24521	4.01560140032026e-06	5.05714012913188e-06	5.25501803927911e-05
prot_P28239	2.82177756318191e-07	2.71683020178019e-06	8.6605773294792e-05
prot_P28240	3.20431623472661e-06	6.43127291258524e-06	0.00020138842866487
prot_P30902	3.54304737530844e-05	3.55067090660553e-05	1.51017428405979e-06
prot_P32264	3.92943715892338e-07	9.12494529520524e-07	2.45028684340396e-05
prot_P32476	2.99407188372354e-05	3.7706678187393e-05	0.0004281013825824
prot_P32895	2.43846740177881e-06	3.44282069280056e-05	0.00150502607395132
prot_P36148	1.84418121919009e-06	5.88390613730133e-05	0.004767283745228
prot_P38077	3.54304737530844e-05	3.55067090660553e-05	2.61869900996666e-06
prot_P38631	9.81404570248879e-07	4.17337855824469e-06	0.000685791940550813
prot_P38689	2.39469780971116e-06	3.37447569280056e-05	0.0011011244284426
prot_P39006	7.62408050497312e-09	6.54900641492358e-05	0.00370592369044016
prot_P41939	3.56981383811685e-06	7.71625445331289e-06	0.000193065406921386
prot_P49367	1.1631170498243e-05	1.88843678921918e-05	0.000545076986303536
prot_P50094	3.67360613110556e-07	1.49168041124058e-06	6.34040811854898e-05
prot_P53045	1.09222595478115e-05	1.37552517722563e-05	0.000103343845127932
prot_P54839	3.28988438204919e-05	4.1431916841493e-05	0.00046942849548192
prot_P61829	0.000354250509261551	0.000355067090660553	6.33615720997726e-06
prot_P81449	3.54304737530844e-05	3.55067090660553e-05	8.29084948565114e-07
prot_P81450	3.54304737530844e-05	3.55067090660553e-05	5.09838140202461e-07
prot_P81451	3.54304737530844e-05	3.55067090660553e-05	5.74331690269596e-07
prot_Q06405	3.54304737530844e-05	3.55067090660553e-05	8.62373860326994e-07
prot_Q12165	3.54304737530844e-05	3.55067090660553e-05	1.29754179853383e-06
prot_Q12166	5.32345199169561e-07	1.77261645611627e-06	8.33456207339026e-05
prot_Q12189	2.68695977065075e-06	7.93828999902341e-06	0.000148390881787402
prot_Q12233	3.54304737530844e-05	3.55067090660553e-05	9.85031904778418e-07
prot_Q12349	3.54304737530844e-05	3.55067090660553e-05	1.07702581929355e-06
prot_Q12452	6.23422289025708e-06	7.85124223467403e-06	6.42348160116814e-05
