protID	geneID	protName	capUse_CN4	capUse_CN22	capUse_CN38	capUse_CN75	capUse_hGR	absUse_CN4	absUse_CN22	absUse_CN38	absUse_CN75	absUse_hGR	UB_CN4	UB_CN22	UB_CN38	UB_CN75	UB_hGR
A2P2R3	YMR084W	YMR084W	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
O13525	YDR204W	COQ4	0	0	0	0	0	0	0	0	0	0	3.31e-07	Inf	1.85e-07	1.61e-07	Inf
P00044	YJR048W	CYC1	0	0	0	0	0	2.52e-08	2.99e-08	8.08e-09	2.86e-08	2.83e-08	Inf	Inf	Inf	Inf	Inf
P00045	YEL039C	CYC7	0	0	0	0	0	0	0	0	0	0	Inf	Inf	Inf	Inf	Inf
P00127	YFR033C	QCR6	1	1	1	1	0.995	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.71e-05	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.72e-05
P00128	YDR529C	QCR7	1	1	1	1	0.995	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.71e-05	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.72e-05
P00163	Q0105	COB	1	1	1	1	0.995	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.71e-05	1.27e-05	1.21e-05	8.83e-06	4.82e-06	2.72e-05
P00175	YML054C	CYB2	0	0	0	0	0	0	0	0	0	0	7.98e-06	2.67e-06	3.69e-07	3.16e-07	6.47e-06
P00330	YOL086C	ADH1	0	0	0.000358	0.0099	0.0172	0	0	3.5e-08	7.75e-07	1.25e-06	6.94e-05	0.000138	9.76e-05	7.83e-05	7.28e-05
P00331	YMR303C	ADH2	0.00804	0.0415	0	0	0	2.68e-06	2.43e-06	0	0	0	0.000333	5.86e-05	3.27e-05	2.31e-05	1.68e-05
P00358	YJR009C	TDH2	0	0	0	0	0	0	0	0	0	3.77e-05	Inf	Inf	Inf	Inf	Inf
P00359	YGR192C	TDH3	0.153	0	0.275	0.782	1	5.35e-05	0	6.53e-05	0.000153	0.000194	0.000349	0.000368	0.000237	0.000195	0.000194
